id,name,district_id,created_at,updated_at
136,Chauri Deurali Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
137,Khanikhola Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
138,Mahabharat Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
139,Roshi Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
140,Temal Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
141,Hetauda Sub-Metropolitan City,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
142,Thaha Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
143,Bagmati Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
144,Bakaiya Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
145,Bhimphedi Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
146,Indrasarowar Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
147,Kailash Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
148,Makawanpurgadhi Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
149,Manahari Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
150,Raksirang Rural Municipality,19,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
151,Dhunibeshi Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
152,Nilkantha Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
153,Benighat Rorang Rural Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
154,Gajuri Rural Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
155,Galchhi Rural Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
156,Ganga Jamuna Rural Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
157,Jwalamukhi Rural Municipality,20,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
